"access_restricted","original_format__001","original_format__002","contributor__001","contributor__002","contributor__003","contributor__004","contributor__005","contributor__006","contributor__007","contributor__008","id","partof__001","partof__002","partof__003","partof__004","partof__005","partof__006","subject__001","subject__002","subject__003","subject__004","subject__005","subject__006","subject__007","subject__008","subject__009","subject__010","subject__011","index","group__001","group__002","group__003","group__004","group__005","title","online_format__-","location__001","location__002","mime_type__001","mime_type__002","mime_type__003","mime_type__004","digitized","description__-","timestamp","site__001","site__002","extract_timestamp","date","shelf_id","other_title__001","other_title__002","count","dates","dates__-","language__-","url","items","hassegments","image_url__001","image_url__002","image_url__003","image_url__004","image_url__005","aka__001","aka__002","aka__003","aka__004","aka__005","aka__006","aka__007","aka__008","aka__009"
"False","photo, print, drawing","","ritton, edward david","","","","","","","","http://www.loc.gov/item/2008677253/","prints and photographs division","gladstone collection of african american photographs","lot 14024","catalog","","","baseball players","connecticut","danbury","african americans","sports","albumen prints","boudoir card photographs","group portraits","portrait photographs","","","1","gld","catalog","gladstone-african-american-photographs","","","[African American baseball team, Danbury, Connecticut]","image","connecticut","danbury","image/gif","image/jpg","image/tif","","True","1 photographic print on boudoir card mount : albumen ; aheet 11.4 x 19.4 cm, on mount 13.5 x 21.5 cm. | Photograph showing 23 men wearing suits, sitting and standing, one holding a baseball bat; they are members of an African American men's baseball team, possibly in Danbury, Connecticut.","2017-10-28T16:47:41.450Z","pictures","catalog","2017-10-28T16:47:10.622Z","1880","LOT 14024, no. 66 [P&P]","","","","","1880-01-01T00:00:00Z","english","https://www.loc.gov/item/2008677253/","","False","//cdn.loc.gov/service/pnp/ppmsca/11500/11502_150px.jpg#h=94&w=150","//cdn.loc.gov/service/pnp/ppmsca/11500/11502t.gif#h=94&w=150","//cdn.loc.gov/service/pnp/ppmsca/11500/11502r.jpg#h=402&w=640","//cdn.loc.gov/service/pnp/ppmsca/11500/11502v.jpg#h=643&w=1024","","http://www.loc.gov/pictures/collection/gld/item/2008677253/","http://hdl.loc.gov/loc.pnp/ppmsca.11503","http://www.loc.gov/item/2008677253/","http://www.loc.gov/pictures/item/2008677253/","http://hdl.loc.gov/loc.pnp/ppmsca.11502","http://www.loc.gov/resource/ppmsca.11502/","http://www.loc.gov/resource/ppmsca.11503/","http://lccn.loc.gov/2008677253",""
"False","photo, print, drawing","","","","","","","","","","http://www.loc.gov/item/2002719389/","prints and photographs division","gladstone collection of african american photographs","panoramic photographs","american memory","taking the long view: panoramic photographs, 1851-1991","catalog","world series (baseball)","negro leagues","african americans","sports","united states","baseball players","group portraits","halftone photomechanical prints","panoramic photographs","reproductions","portrait photographs","2","pan","gld","catalog","panoramic-photographs","gladstone-african-american-photographs","First colored world series, opening game Oct. 11, 1924, Kansas City, Mo.","image","united states","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print : halftone ; 19.5 x 93 cm. | Group portrait of players from the Monarchs and the Hilldale baseball teams in front of grandstands filled with spectators before the opening game of the 1924 World Series.","2016-07-14T14:31:23.591Z","pictures","catalog","2016-07-14T14:29:42.858Z","1924","PAN SUBJECT - Sports no. 185 (E size) [P&P]","","","","","1924-01-01T00:00:00Z","english","https://www.loc.gov/item/2002719389/","","False","//cdn.loc.gov/service/pnp/ppmsca/18500/18576_150px.jpg","//cdn.loc.gov/service/pnp/ppmsca/18500/18576_150px.jpg#h=34&w=150","//cdn.loc.gov/service/pnp/ppmsca/18500/18576t.gif#h=34&w=150","//cdn.loc.gov/service/pnp/ppmsca/18500/18576r.jpg#h=144&w=640","//cdn.loc.gov/service/pnp/ppmsca/18500/18576v.jpg#h=231&w=1024","http://www.loc.gov/pictures/collection/pan/item/2002719389/","http://hdl.loc.gov/loc.pnp/cph.3c32218","http://www.loc.gov/item/2002719389/","http://www.loc.gov/pictures/item/2002719389/","http://hdl.loc.gov/loc.pnp/ppmsca.18576","http://www.loc.gov/resource/ppmsca.18576/","http://www.loc.gov/resource/cph.3c32218/","http://www.loc.gov/pictures/collection/gld/item/2002719389/","http://lccn.loc.gov/2002719389"
"False","collection","photo, print, drawing","gladstone, william a.","ball, james presley","moore, henry p.","paxson, chas. (charles)","kimball, m. h.","m'clees, jas. e. (james e.)","kellogg brothers","mcpherson & oliver","http://www.loc.gov/collections/gladstone-african-american-photographs/about-this-collection/","digital collections","gladstone collection of african american photographs","prints and photographs division","","","","african american history","war & military","ambrotypes","tintypes","cartes de visite","photographic prints","ephemera","","","","","3","collections-portal","","","","","Gladstone Collection of African American Photographs","","united states","","","","","","True","<p> The William A. Gladstone Collection of African American Photographs provides almost 350 images showing African Americans and related military and social history. The Civil War era is the primary time period covered, with scattered examples through 1945. Most of the images are photographs, including 270 cartes de visite. For the list of approximately 100 different photographers, see the <a href=""/collections/gladstone-african-american-photographs/index/Contributor/"">Creator/Related Names Index</a>. </p>  <p> Subjects of special note include Sojourner Truth, fugitive slaves, former slave children from New Orleans, and freed slaves at Seabrook Plantation in South Carolina. Military service photographs document participation in the Civil War, Indian Wars, Spanish American War, and World War I. Several photographs show Buffalo Soldiers, and one album is filled with portraits of officers of the 25th United States Colored Troops. Baseball is the theme for a group portrait from Danbury, CT, and a panoramic view of the 1924 Colored World Series opening game. </p>  <p> The Library of Congress purchased this collection from William A. Gladstone in 1995. Gladstone's distinctive     ownership logo appears on the backs of many photographs. </p>  <p> <strong>Access Advisory:</strong> Use digital images. Original items served only by appointment because material     requires special handling. For more information, see: <a href=""//www.loc.gov/rr/print/info/617_apptonly.html"">www.loc.gov/rr/print/info/617_apptonly.html</a></p>  <p> <strong>Related material at the Library of Congress</strong></p>  <ul class=""plain margin-bottom-double-li list-plain-extra-margin"">   <li>An estimated 500 hand-written documents are in the Manuscript Division as the ""Afro-American Military     Collection, 1773-1987 (bulk 1861-1865),"" <a href=""//lccn.loc.gov/mm96083434"">lccn.loc.gov/mm96083434</a>. </li>   <li>Civil War Photographs: Related Resources, <a href=""/collections/civil-war-glass-negatives/about-this-collection/related-resources/"">www.loc.gov/collection/civil-war-glass-negatives/about-this-collection/related-resources/</a>. </li>   <li>Sources for Images on African American History <a href=""//www.loc.gov/rr/print/resource/063_afr.html"">www.loc.gov/rr/print/resource/063_afr.html</a>. </li>  </ul>","2018-06-21T06:55:30.640Z","","","2018-06-21T06:34:41.082Z","1861","Guide Record","Gladstone collection (Library of Congress)","William A. Gladstone collection of African American photographs (Library of Congress)","322","1860-01-01T00:00:00Z","","english","https://www.loc.gov/collections/gladstone-african-american-photographs/about-this-collection/","https://www.loc.gov/collections/gladstone-african-american-photographs/","False","https://www.loc.gov/collections/static/gladstone-african-american-photographs/155_155.jpg#h=155&w=155","https://www.loc.gov/collections/static/gladstone-african-american-photographs/500_500.jpg#h=500&w=500","","","","http://www.loc.gov/collections/gladstone-african-american-photographs/about-this-collection/","http://www.loc.gov/collections/gld/","http://lccn.loc.gov/2010647749","http://www.loc.gov/item/2010647749/","http://hdl.loc.gov/loc.pnp/pp.gld","http://www.loc.gov/resource/pp.gld/","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1861-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1862-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1863-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1864-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1865-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1866-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1867-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1868-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1869-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1870-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1871-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1872-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1873-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1874-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1875-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1876-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1877-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1878-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1879-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1880-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1881-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1882-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1883-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1884-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1885-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1886-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1887-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1888-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1889-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1891-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1892-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1893-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1894-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1895-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1896-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1897-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1898-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1899-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1900-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1901-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1902-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1903-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1904-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1905-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1906-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1907-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1908-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1909-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1910-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1911-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1912-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1913-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1914-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1915-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1916-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1917-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1918-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1919-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1920-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1921-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1922-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1923-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1924-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1925-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1926-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1927-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1928-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1929-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1930-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1931-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1932-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1933-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1934-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1935-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1936-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1937-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1938-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1939-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1940-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1941-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1942-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1943-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1944-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1945-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","",""
