"access_restricted","site__-","original_format__-","contributor__-","id","partof__001","mime_type__001","mime_type__002","mime_type__003","mime_type__004","mime_type__005","partof__002","partof__003","subject__001","subject__002","index","group__001","group__002","title","segments__url","segments__count","segments__link","online_format__001","online_format__002","online_format__003","digitized","description__-","timestamp","extract_timestamp","date","shelf_id","dates__-","language__-","count","url","items","hassegments","image_url__001","image_url__002","image_url__003","aka__001","aka__002","aka__003","aka__004"
"False","","collection","","http://www.loc.gov/collections/spalding-base-ball-guides/about-this-collection/","digital collections","","","","","","the spalding base ball guides, 1889-1939","humanities and social sciences division","sports & recreation","","1","collections-portal","","The Spalding Base Ball Guides, 1889-1939","","","","","","","True","<p><em>Spalding Base Ball Guides, 1889-1939</em> comprises a historic selection of <em>Spalding’s Official Base Ball Guide</em> and the <em>Official Indoor Base Ball Guide</em>.  The collection reproduces 35 of the guides, which were published by the  Spalding Athletic Company in the late nineteenth and early twentieth  centuries. <em>Spalding’s Official Base Ball Guide</em> was perhaps the  premier publication of its day for the game of baseball. It featured  editorials from baseball writers on the state of the game, statistics,  photographs, and analysis of the previous season for all the Major  League teams and for many of the so-called minor leagues across the  nation. The 15 <em>Spalding’s Official Base Ball Guides</em> included in this online collection were published between 1889 and 1939. The <em>Official Indoor Baseball Guide</em> concerns a game unfamiliar to most contemporary baseball fans because  its demise occurred almost beyond living memory. These guides, too,  offer rules and “how-to’s” of the game, information on the game’s  founding fathers, photographic illustrations of teams and players from  across the land, and game statistics. The 20 <em>Official Indoor Base Ball Guides</em> included in this collection were published between 1903 and 1926.</p> <p>During his more than twenty-one years' involvement with baseball’s  Major Leagues, A.G. (Albert Goodwill) Spalding (1850-1915) was a  baseball player, manager, and executive. With his brother he began the  sporting-goods manufacturing and retail business that still bears his  name and is known to millions. He also founded a publishing house, the  American Sports Publishing Company.</p> <p>Between the late nineteenth and the mid-twentieth centuries, the  American Sports Publishing Company issued works that can be classified  in three general categories. The first is instructional manuals, such as <em>How to Play Second Base, How to Bowl, and How to Play American Hand Ball</em>.  The second is rule books for many sports. The third category, and the  one most widely used by researchers and sports historians, is the  annuals that both narratively and statistically summarized the previous  year's history, accomplishments, and records for a specific sport. A few  of the sports covered are baseball, women's basketball, golf, college  football, and track and field athletics. Collectively, these are known  as Spalding Guides. In addition to the text, all guides included an  advertising section for the Spalding sporting-goods empire that provides  a fascinating history of the development of everything from baseball  gloves, tennis racquets, and ice skates to golf clubs and football  cleats; the Spalding Company made them all.</p> <p>The Library of Congress has more than one thousand of these guides,  believed to be the largest collection held by any institution. A small  sample is offered here in <em>Spalding Base Ball Guides, 1889-1939</em>; in the future, the entire collection may be digitized and made available on this Web site. The twenty <em>Official Indoor Base Ball Guides</em> and fifteen <em>Spalding's Official Base Ball Guides</em> currently presented are examples of the annuals described above.</p> <p>While the game of baseball covered in <em>Spalding’s Official Base Ball Guides</em> is well known to most Americans, the game described in the <em>Official Indoor Base Ball Guides</em> may at first seem unfamiliar--yet in its current incarnation it is  probably played by more Americans than traditional baseball. According  to <em>The New Dickson Baseball Dictionary</em>, indoor baseball is  “[t]he original name for the game from which modern softball derived.  Its rules were written by George W. Hancock of Chicago who was one of  the group of young men who created the game, using a boxing glove for a  ball and a broomstick for a bat, while waiting at the Farragut Boat Club  for the telegraphed results of the Harvard-Yale football game on  Thanksgiving Day, 1887. Thus, softball in its first incarnation was  baseball played inside a gymnasium” (Paul Dickson, <em>The New Dickson Baseball Dictionary</em> [New York: Harcourt, Brace and Company, 1990], p. 268).</p> <p>Brief biographies of A.G. Spalding can be found in <em>The Ballplayers</em>, edited by Mike Shatzkin (New York: Arbor House/William Morrow, 1990; Library of Congress call number GV865.A1 B323 1990) and <em>Biographical Dictionary of American Sports. Baseball</em>,  edited by David L. Porter (Westport, Conn.: Greenwood Press, 2000;  Library of Congress call number GV865.A1 B55 2000). The definitive  biography is <em>A.G. Spalding and the Rise of Baseball: The Promise of American Sport</em>, by Peter Levine (New York: Oxford University Press, 1985; Library of Congress call number GV865.S7 L48 1985).</p>","2018-06-21T06:55:32.167Z","2018-06-21T06:36:12.220Z","","http://www.loc.gov/collections/spalding-base-ball-guides/about-this-collection/","","","39","https://www.loc.gov/collections/spalding-base-ball-guides/about-this-collection/","https://www.loc.gov/collections/spalding-base-ball-guides/","False","https://www.loc.gov/collections/static/spalding-base-ball-guides/155_155.jpg#h=155&w=155","https://www.loc.gov/collections/static/spalding-base-ball-guides/500_500.jpg#h=500&w=500","","http://www.loc.gov/collections/spalding-base-ball-guides/about-this-collection/","http://www.loc.gov/collections/spalding/","",""
"False","cms","web page","","http://www.loc.gov/collections/spalding-base-ball-guides/about-this-collection/digitizing-the-collection/","the spalding base ball guides, 1889-1939","application/json","text/html","","","","","","","","2","cms","managed-content","Digitizing the Collection - The Spalding Base Ball Guides, 1889-1939","","","","web page","","","True","Image Scanning Acme Bookbinding, Inc., of Austin, Texas digitized the paper-based printed documents for all twenty Official Indoor Base Ball Guides and one Spalding’s Official Base Ball Guide that appear in the initial offering of Spalding Base Ball Guides, 1889-1939.  Because of the large number of printed halftone illustrations, pages  were scanned as 600-dpi 8-bit grayscale images. The front and back  covers were scanned as 600-dpi, 24-bit color images. The scanning took  place off-site at Acme Bookbinding, Inc. During conservation work to  prepare the Indoor guides for scanning, metal staples were  removed from the bindings, allowing the guides to be disbound before  scanning. The contract with Acme Bookbinding called for the work to be  carried out with a flatbed scanner; an overhead scanner would have been  required to scan additional copies of Spalding’s Official Base Ball Guide, which had glue bindings.","2018-06-21T06:56:03.605Z","2018-06-21T06:45:42.945Z","","http://www.loc.gov/collections/spalding-base-ball-guides/about-this-collection/digitizing-the-collection/","","english","","https://www.loc.gov/collections/spalding-base-ball-guides/about-this-collection/digitizing-the-collection/","","False","","","","http://www.loc.gov/collections/spalding-base-ball-guides/about-this-collection/digitizing-the-collection/","","",""
"False","cms","web page","","http://www.loc.gov/collections/spalding-base-ball-guides/about-this-collection/related-resources/","the spalding base ball guides, 1889-1939","application/json","text/html","","","","","","","","3","cms","managed-content","Related Resources - The Spalding Base Ball Guides, 1889-1939","","","","web page","","","True","","2018-06-21T06:56:03.605Z","2018-06-21T06:45:42.945Z","","http://www.loc.gov/collections/spalding-base-ball-guides/about-this-collection/related-resources/","","english","","https://www.loc.gov/collections/spalding-base-ball-guides/about-this-collection/related-resources/","","False","","","","http://www.loc.gov/collections/spalding-base-ball-guides/about-this-collection/related-resources/","","",""
"False","cms","web page","","http://www.loc.gov/collections/spalding-base-ball-guides/about-this-collection/rights-and-access/","the spalding base ball guides, 1889-1939","application/json","text/html","","","","","","","","4","cms","managed-content","Rights and Access - The Spalding Base Ball Guides, 1889-1939","","","","web page","","","True","The Library of Congress is providing access to these materials for  educational and research purposes. The written permission of the  copyright owners and other rights holders (such as holders of publicity  and /or privacy rights) is required for distribution, reproduction, or  other use beyond that allowed by fair use or other statutory exemptions.  Note that there may be U.S. copyright protection (see Title 17, U.S.C.)  or other restrictions in these materials. However, the Library is not  aware of any copyrights or other rights associated with this material.","2018-06-21T06:56:03.605Z","2018-06-21T06:45:42.945Z","","http://www.loc.gov/collections/spalding-base-ball-guides/about-this-collection/rights-and-access/","","english","","https://www.loc.gov/collections/spalding-base-ball-guides/about-this-collection/rights-and-access/","","False","","","","http://www.loc.gov/collections/spalding-base-ball-guides/about-this-collection/rights-and-access/","","",""
"False","","periodical","a.g. spalding & bros","http://www.loc.gov/item/spalding.00145/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","baseball","periodicals","5","spalding","spalding-base-ball-guides","Spalding's official base ball guide, 1889","https://www.loc.gov/resource/spalding.00145/","180","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00145/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:25.532Z","2018-06-21T07:03:51.868Z","1889-00-00","spaldingbib000001","1889-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00145/","","True","//cdn.loc.gov/service/gdc/spalding/00145/00145t.gif","//cdn.loc.gov/service/gdc/spalding/00145/00001r.jpg#h=775&w=500","//cdn.loc.gov/service/gdc/spalding/00145/00001v.jpg#h=1588&w=1024","http://www.loc.gov/item/spaldingbib000001/","http://hdl.loc.gov/loc.gdc/spalding.00145","http://www.loc.gov/resource/spalding.00145/","http://www.loc.gov/item/spalding.00145/"
"False","","periodical","a.g. spalding & bros","http://www.loc.gov/item/spalding.00147/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","baseball","periodicals","6","spalding","spalding-base-ball-guides","Spalding's official base ball guide, 1894","https://www.loc.gov/resource/spalding.00147/","195","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00147/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:26.056Z","2018-06-21T07:03:51.868Z","1894-00-00","spaldingbib000002","1894-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00147/","","True","//cdn.loc.gov/service/gdc/spalding/00147/00147t.gif","//cdn.loc.gov/service/gdc/spalding/00147/00001r.jpg#h=655&w=500","//cdn.loc.gov/service/gdc/spalding/00147/00001v.jpg#h=655&w=500","http://www.loc.gov/item/spaldingbib000002/","http://hdl.loc.gov/loc.gdc/spalding.00147","http://www.loc.gov/resource/spalding.00147/","http://www.loc.gov/item/spalding.00147/"
"False","","periodical","a.g. spalding & bros","http://www.loc.gov/item/spalding.00148/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","baseball","periodicals","7","spalding","spalding-base-ball-guides","Spalding's official base ball guide, 1895","https://www.loc.gov/resource/spalding.00148/","220","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00148/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:26.508Z","2018-06-21T07:03:51.868Z","1895-00-00","spaldingbib000003","1895-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00148/","","True","//cdn.loc.gov/service/gdc/spalding/00148/00148t.gif","//cdn.loc.gov/service/gdc/spalding/00148/00001r.jpg#h=717&w=500","//cdn.loc.gov/service/gdc/spalding/00148/00001v.jpg#h=1468&w=1024","http://www.loc.gov/item/spaldingbib000003/","http://hdl.loc.gov/loc.gdc/spalding.00148","http://www.loc.gov/resource/spalding.00148/","http://www.loc.gov/item/spalding.00148/"
"False","","periodical","a.g. spalding & bros","http://www.loc.gov/item/spalding.00152/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","baseball","periodicals","8","spalding","spalding-base-ball-guides","Spalding's official base ball guide, 1906","https://www.loc.gov/resource/spalding.00152/","486","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00152/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:27.675Z","2018-06-21T07:03:51.868Z","1906-00-00","spaldingbib000004","1906-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00152/","","True","//cdn.loc.gov/service/gdc/spalding/00152/00152t.gif","//cdn.loc.gov/service/gdc/spalding/00152/00001r.jpg#h=825&w=500","//cdn.loc.gov/service/gdc/spalding/00152/00001v.jpg#h=1690&w=1024","http://www.loc.gov/item/spaldingbib000004/","http://hdl.loc.gov/loc.gdc/spalding.00152","http://www.loc.gov/resource/spalding.00152/","http://www.loc.gov/item/spalding.00152/"
"False","","periodical","a.g. spalding & bros","http://www.loc.gov/item/spalding.00155/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","baseball","periodicals","9","spalding","spalding-base-ball-guides","Spalding's official base ball guide, 1910","https://www.loc.gov/resource/spalding.00155/","468","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00155/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:29.574Z","2018-06-21T07:03:51.868Z","1910-00-00","spaldingbib000005","1910-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00155/","","True","//cdn.loc.gov/service/gdc/spalding/00155/00155t.gif","//cdn.loc.gov/service/gdc/spalding/00155/00001r.jpg#h=741&w=500","//cdn.loc.gov/service/gdc/spalding/00155/00001v.jpg#h=1517&w=1024","http://www.loc.gov/item/spaldingbib000005/","http://hdl.loc.gov/loc.gdc/spalding.00155","http://www.loc.gov/resource/spalding.00155/","http://www.loc.gov/item/spalding.00155/"
"False","","periodical","a.g. spalding & bros","http://www.loc.gov/item/spalding.00156/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","baseball","periodicals","10","spalding","spalding-base-ball-guides","Spalding's official base ball guide, 1911","https://www.loc.gov/resource/spalding.00156/","468","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00156/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:31.200Z","2018-06-21T07:03:51.868Z","1911-00-00","spaldingbib000006","1911-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00156/","","True","//cdn.loc.gov/service/gdc/spalding/00156/00156t.gif","//cdn.loc.gov/service/gdc/spalding/00156/00001r.jpg#h=758&w=500","//cdn.loc.gov/service/gdc/spalding/00156/00001v.jpg#h=1552&w=1024","http://www.loc.gov/item/spaldingbib000006/","http://hdl.loc.gov/loc.gdc/spalding.00156","http://www.loc.gov/resource/spalding.00156/","http://www.loc.gov/item/spalding.00156/"
"False","","periodical","a.g. spalding & bros","http://www.loc.gov/item/spalding.00157/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","baseball","periodicals","11","spalding","spalding-base-ball-guides","Spalding's official base ball guide, 1912","https://www.loc.gov/resource/spalding.00157/","404","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00157/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:32.960Z","2018-06-21T07:03:51.868Z","1912-00-00","spaldingbib000007","1912-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00157/","","True","//cdn.loc.gov/service/gdc/spalding/00157/00157t.gif","//cdn.loc.gov/service/gdc/spalding/00157/00001r.jpg#h=750&w=500","//cdn.loc.gov/service/gdc/spalding/00157/00001v.jpg#h=1537&w=1024","http://www.loc.gov/item/spaldingbib000007/","http://hdl.loc.gov/loc.gdc/spalding.00157","http://www.loc.gov/resource/spalding.00157/","http://www.loc.gov/item/spalding.00157/"
"False","","periodical","a.g. spalding & bros","http://www.loc.gov/item/spalding.00158/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","baseball","periodicals","12","spalding","spalding-base-ball-guides","Spalding's official base ball guide, 1913","https://www.loc.gov/resource/spalding.00158/","355","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00158/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:34.398Z","2018-06-21T07:03:51.868Z","1913-00-00","spaldingbib000008","1913-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00158/","","True","//cdn.loc.gov/service/gdc/spalding/00158/00158t.gif","//cdn.loc.gov/service/gdc/spalding/00158/00001r.jpg#h=745&w=500","//cdn.loc.gov/service/gdc/spalding/00158/00001v.jpg#h=1525&w=1024","http://www.loc.gov/item/spaldingbib000008/","http://hdl.loc.gov/loc.gdc/spalding.00158","http://www.loc.gov/resource/spalding.00158/","http://www.loc.gov/item/spalding.00158/"
"False","","periodical","a.g. spalding & bros","http://www.loc.gov/item/spalding.00159/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","baseball","periodicals","13","spalding","spalding-base-ball-guides","Spalding's official base ball guide, 1915","https://www.loc.gov/resource/spalding.00159/","388","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00159/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:36.085Z","2018-06-21T07:03:51.868Z","1915-00-00","spaldingbib000009","1915-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00159/","","True","//cdn.loc.gov/service/gdc/spalding/00159/00159t.gif","//cdn.loc.gov/service/gdc/spalding/00159/00001r.jpg#h=729&w=500","//cdn.loc.gov/service/gdc/spalding/00159/00001v.jpg#h=1493&w=1024","http://www.loc.gov/item/spaldingbib000009/","http://hdl.loc.gov/loc.gdc/spalding.00159","http://www.loc.gov/resource/spalding.00159/","http://www.loc.gov/item/spalding.00159/"
"False","","periodical","a.g. spalding & bros","http://www.loc.gov/item/spalding.00161/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","baseball","periodicals","14","spalding","spalding-base-ball-guides","Spalding's official base ball guide, 1917","https://www.loc.gov/resource/spalding.00161/","307","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00161/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:37.613Z","2018-06-21T07:03:51.868Z","1917-00-00","spaldingbib000010","1917-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00161/","","True","//cdn.loc.gov/service/gdc/spalding/00161/00161t.gif","//cdn.loc.gov/service/gdc/spalding/00161/00001r.jpg#h=749&w=500","//cdn.loc.gov/service/gdc/spalding/00161/00001v.jpg#h=1534&w=1024","http://www.loc.gov/item/spaldingbib000010/","http://hdl.loc.gov/loc.gdc/spalding.00161","http://www.loc.gov/resource/spalding.00161/","http://www.loc.gov/item/spalding.00161/"
"False","","periodical","a.g. spalding & bros","http://www.loc.gov/item/spalding.00165/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","baseball","periodicals","15","spalding","spalding-base-ball-guides","Spalding's official base ball guide, 1922","https://www.loc.gov/resource/spalding.00165/","392","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00165/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:39.041Z","2018-06-21T07:03:51.868Z","1922-00-00","spaldingbib000011","1922-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00165/","","True","//cdn.loc.gov/service/gdc/spalding/00165/00165t.gif","//cdn.loc.gov/service/gdc/spalding/00165/00001r.jpg#h=717&w=500","//cdn.loc.gov/service/gdc/spalding/00165/00001v.jpg#h=1469&w=1024","http://www.loc.gov/item/spaldingbib000011/","http://hdl.loc.gov/loc.gdc/spalding.00165","http://www.loc.gov/resource/spalding.00165/","http://www.loc.gov/item/spalding.00165/"
"False","","periodical","a.g. spalding & bros","http://www.loc.gov/item/spalding.00171/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","baseball","periodicals","16","spalding","spalding-base-ball-guides","Spalding's official base ball guide, 1929","https://www.loc.gov/resource/spalding.00171/","456","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00171/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:40.697Z","2018-06-21T07:03:51.868Z","1929-00-00","spaldingbib000012","1929-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00171/","","True","//cdn.loc.gov/service/gdc/spalding/00171/00171t.gif","//cdn.loc.gov/service/gdc/spalding/00171/00001r.jpg#h=667&w=500","//cdn.loc.gov/service/gdc/spalding/00171/00001v.jpg#h=1365&w=1024","http://www.loc.gov/item/spaldingbib000012/","http://hdl.loc.gov/loc.gdc/spalding.00171","http://www.loc.gov/resource/spalding.00171/","http://www.loc.gov/item/spalding.00171/"
"False","","periodical","a.g. spalding & bros","http://www.loc.gov/item/spalding.00172/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","baseball","periodicals","17","spalding","spalding-base-ball-guides","Spalding's official base ball guide, 1930","https://www.loc.gov/resource/spalding.00172/","456","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00172/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:42.349Z","2018-06-21T07:03:51.868Z","1930-00-00","spaldingbib000013","1930-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00172/","","True","//cdn.loc.gov/service/gdc/spalding/00172/00172t.gif","//cdn.loc.gov/service/gdc/spalding/00172/00001r.jpg#h=680&w=500","//cdn.loc.gov/service/gdc/spalding/00172/00001v.jpg#h=1392&w=1024","http://www.loc.gov/item/spaldingbib000013/","http://hdl.loc.gov/loc.gdc/spalding.00172","http://www.loc.gov/resource/spalding.00172/","http://www.loc.gov/item/spalding.00172/"
